"","edad","anos_de_experiencia","anos_en_la_empresa_actual","anos_en_el_puesto_actual","perfil","salario_bruto","salario_neto"
"187",43,8,8,2,"BI Analyst / Data Analyst",60000,50000
"188",35,10,10,10,"BI Analyst / Data Analyst",60000,48000
"189",30,4,4,1,"Data Scientist / Data Engineer",120000,90000
"190",26,2,0,0,"Data Scientist / Data Engineer",60000,50000
"191",34,8,0,0,"BI Analyst / Data Analyst",58500,48000
"192",29,8,2,2,"BI Analyst / Data Analyst",58100,48223
"193",25,3,1,1,"Data Scientist / Data Engineer",57480,47708
"194",23,2,2,0,"BI Analyst / Data Analyst",57000,47000
"195",23,3,0,0,"Data Scientist / Data Engineer",56000,46000
"196",33,10,4,1,"Data Scientist / Data Engineer",161000,114000
"197",24,2,0,0,"Data Scientist / Data Engineer",56000,44000
"198",25,1,0,1,"BI Analyst / Data Analyst",55000,48000
"199",30,1,1,1,"BI Analyst / Data Analyst",55000,45650
"200",28,3,2,2,"BI Analyst / Data Analyst",55000,44000
"201",28,2,2,1,"Data Scientist / Data Engineer",55000,50000
"202",32,4,2,1,"Data Scientist / Data Engineer",90000,70000
"203",29,5,0,0,"Data Scientist / Data Engineer",76300,63800
"204",28,4,0,0,"BI Analyst / Data Analyst",54000,44820
"205",32,3,3,3,"Data Scientist / Data Engineer",53000,44000
"206",29,1,0,0,"Data Scientist / Data Engineer",90000,72000
"207",37,15,3,15,"Data Scientist / Data Engineer",10630918,82594
"208",30,7,1,1,"BI Analyst / Data Analyst",50000,45000
"209",26,1,0,0,"BI Analyst / Data Analyst",50000,42500
"210",33,1,0,0,"Data Scientist / Data Engineer",50000,41500
"211",28,4,0,1,"Data Scientist / Data Engineer",110000,83000
"212",22,1,0,1,"Data Scientist / Data Engineer",50000,41500
"213",22,1,1,1,"Data Scientist / Data Engineer",51800,36500
"214",33,5,2,2,"Data Scientist / Data Engineer",48000,42000
"215",20,2,2,1,"Data Scientist / Data Engineer",48000,35000
"216",24,2,15,15,"BI Analyst / Data Analyst",47790,39900
"217",23,1,1,1,"BI Analyst / Data Analyst",47000,40000
"218",21,0,0,0,"Data Scientist / Data Engineer",45000,37350
"219",25,2,2,2,"Data Scientist / Data Engineer",42000,35000
"220",36,18,3,3,"BI Analyst / Data Analyst",44000,36000
"221",26,1,0,1,"BI Analyst / Data Analyst",43000,36000
"222",34,6,3,3,"Data Scientist / Data Engineer",43000,40000
"223",35,12,0,0,"BI Analyst / Data Analyst",42000,32000
"224",24,2,2,0,"BI Analyst / Data Analyst",42000,36000
"225",40,4,0,0,"BI Analyst / Data Analyst",40000,33200
"226",30,1,1,0,"Data Scientist / Data Engineer",40000,33000
"227",26,0,0,0,"BI Analyst / Data Analyst",40000,33600
"228",22,0,0,0,"BI Analyst / Data Analyst",40000,30000
"229",24,1,0,0,"BI Analyst / Data Analyst",39000,31000
"230",21,1,1,1,"Data Scientist / Data Engineer",38500,32000
"231",23,1,0,0,"BI Analyst / Data Analyst",38000,30600
"232",29,1,1,1,"BI Analyst / Data Analyst",36900,30000
"233",31,12,2,2,"BI Analyst / Data Analyst",36000,30000
"234",21,0,0,0,"BI Analyst / Data Analyst",35000,30000
"235",30,2,0,0,"BI Analyst / Data Analyst",35000,29000
"236",32,0,0,0,"BI Analyst / Data Analyst",35000,29000
"237",26,0,0,0,"BI Analyst / Data Analyst",35000,29000
"238",21,0,0,0,"BI Analyst / Data Analyst",33000,27000
"239",21,0,0,0,"BI Analyst / Data Analyst",31000,26000
"240",23,0,0,0,"BI Analyst / Data Analyst",30100,25000
"241",25,1,0,0,"BI Analyst / Data Analyst",30000,24900
"242",28,0,0,0,"BI Analyst / Data Analyst",29000,25000
"243",25,0,0,0,"BI Analyst / Data Analyst",28000,23000
"244",24,2,2,2,"BI Analyst / Data Analyst",26000,24700
"245",23,1,1,0,"BI Analyst / Data Analyst",24000,22000
